Comment,Sentiment
i would go absolutely mad being on a flight that long with no in flight entertainment ,LABEL_0
maximum 4 hours especially not on scoot,LABEL_1
i am sure scoot flies 787 to lgw from bkk ,LABEL_1
 0 00 let the 12h torture begin,LABEL_0
dude literally sacrificed 13 hours for the bros,LABEL_0
boing,LABEL_1
2w,LABEL_1
why is there this specific music in every making a plane video ,LABEL_1
when you got 747,LABEL_1
wow you airplane 787,LABEL_2
 in ipoh service a320 by flyscoot ,LABEL_1
is scoot the new airline ,LABEL_1
mac a 747,LABEL_1
the original version was british airways,LABEL_1
this is video about building a boeing 787  ,LABEL_1
oh amazing airplane flyscoot,LABEL_2
 flyscoot com ,LABEL_1
one of the finest videos i have ever seen,LABEL_2
i ride the scoot in 2015 to cold coast i hope it is 787,LABEL_1
spr,LABEL_1
stolen from british airways,LABEL_1
beautiful plane but the livery ruins it ,LABEL_0
the rolls royce trent 1000 engines on this plane are awful too,LABEL_0
it is the worst long haul airline on the planet ,LABEL_0
asian version of spirit and frontier airlines in the us ,LABEL_1
scoot is called a budget airline for a reason lol,LABEL_1
hmmm book the cheapest flight and expect first class service wake up to the real world ,LABEL_1
shit airline no customer service i could go on and on and do not bother commenting back to me about being cheap i have paid full freight on this airline still shit not even a bottle of water,LABEL_0
try jetstar value air and you will think your on candid camera the knee room is nonexistent and the food not edible,LABEL_0
nice a fellow lfc fan hopefully this year we go 1 rank better ,LABEL_2
try wizz air and after that you will absolutely love scoot 6 hrs from astana nur sultan to budapest on wizz was an absolute pain ,LABEL_2
i just think its a waste of a beatiful dreamliner to have it with those ugly uncomfortable seats with no entertainment its like having a buggati but you just keep taking dump in it,LABEL_0
so close to 200k ,LABEL_1
you are the best travel youtuber ,LABEL_2
thanks for the awesome reviews i am doing scoot a321neo from and to hkg to sin 787 9 singapore to sydney and return,LABEL_2
scoot ugh is it worse than ryanair jayden i would never judge my favourite avgeekhunk even though i do tease you occasionally ,LABEL_0
hello jayden how are you travelling often is vlogging your full time job ,LABEL_1
can u fly bonza like me ,LABEL_1
i was in adelaide last weekend and saw an aeroplane whizz by overhead i thought to myself is mr wong in that slurping on some champagne ,LABEL_1
haha nice tour scoot ,LABEL_2
this airline is an absolute scammer crap food low service no responsibility for damaged belongings as they crushed our pram during our flight from phuket to sydney and took no responsibility blaming us for not purchasing insurance you pay less and end up paying more than a standard flight in the end unprofessional and dodgy as fark,LABEL_0
scoot is our version of spirit in australia,LABEL_1
crew chillin around on a nearly empty flight thats some awefull service ,LABEL_2
i can not be the only one who fast forwards to check out the meal ,LABEL_1
there is something seriously wrong with the audio in this video ,LABEL_0
scoot airline is like a budget version of singapore airlines lmao,LABEL_1
when will you review vistara is new 787 9,LABEL_1
i remeber the strike i was not happy about it,LABEL_0
josh stop promoting adult movies for saudi you will regret it ,LABEL_0
fly the last a340 500,LABEL_1
wait scoot charge for power outlets hahaha,LABEL_1
shorts are bad for travelling ,LABEL_0
14th in line ,LABEL_1
you need a mic near your mouth as we can not hear you above the noise of the engines ,LABEL_0
brilliant review although having watched other scoot reviews i think you dodged a bullet with the food ,LABEL_2
pokemon gotta catch em all,LABEL_1
flying scoot soon for the 1st time excited,LABEL_2
 i checked in 13 hours early for my flight at singapore is changi airport there is so much to do there ,LABEL_1
this is awesome and the simulator would have been fun as well as a dream come true i am sure,LABEL_2
one day i wanna be a pilot ,LABEL_1
this video is good but how did he get from indonesia all the way to australia and then singapore in a single month,LABEL_2
a good one sam i would not be surprised if you want to become a licensed pilot one day ah but you can not be bothered with too much work ,LABEL_2
372 seats in an 787 omg ,LABEL_1
fa is are rock stars  maybe more people should watch this to appreciate the difficulty of their job ,LABEL_2
scoot singapore changing airport,LABEL_1
can you view a moving map with speed height and all that info on board the scoot app if you purchase the wifi on the 787 cheers,LABEL_1
nice trip report love the 787,LABEL_2
 3 37 i am surprised that people still play that,LABEL_0
how can you called this a business class it just a premium economy class ,LABEL_0
im foing business class in scoot soon,LABEL_1
singapore to berlin started this week ,LABEL_1
nice can you try flying on eva air it is amazing ,LABEL_2
i think you should go vietnam airline you can travel a350 and b787 ect,LABEL_1
honestly looked like a economy trip report ,LABEL_1
i just flew scoot boeing 787 last week ,LABEL_1
they already fly since summer in athens greece with 787,LABEL_1
here before 1000 views try air india someday ,LABEL_1
scoot flight fuck   ,LABEL_0
hopefully i can catch up with mas wira amen,LABEL_2
does this kind of turbulance only shake or do they also drop i am afraid of the dropping feeling had once sudden drop when i took jetstar,LABEL_0
these nose wheels are getting out of hand ,LABEL_0
the front wheel fell off ,LABEL_0
pikachu jet,LABEL_1
lol pokemon is a household name there is always hype for new pokemon related things,LABEL_2
i found the engines to be very quiet but the wing had a lot of aerodynamic noise unless all wings are that loud and it is usually downed out by the engine ,LABEL_1
 they went all 787 in sept,LABEL_1
